names,projected,actual,position
49ers D/ST,5.2,0.0,DST
A.J. Derby,,4.0,TE
AJ McCarron,,0.0,QB
Aaron Murray,,0.0,QB
Aaron Ripkowski,,7.0,RB
Aaron Rodgers,16.7,22.0,QB
Adam Humphries,4.3,1.0,WR
Adam Thielen,7.6,5.0,WR
Adam Vinatieri,8.3,0.0,K
Adrian Peterson,,0.0,RB
Ahmad Bradshaw,,0.0,RB
Akeem Hunt,2.8,1.0,RB
Alan Cross,,1.0,TE
Albert Wilson,4.0,,
Alex Collins,5.8,,
Alex Smith,11.2,0.0,TE
Alex Tanney,,0.0,QB
Alfred Morris,3.3,1.0,RB
Allen Hurns,5.5,7.0,WR
Allen Robinson,8.4,2.0,WR
Amari Cooper,9.9,2.0,WR
Andre Ellington,,1.0,RB
Andre Jerome Caldwell,,0.0,WR
Andre Johnson,,0.0,WR
Andre Roberts,,1.0,WR
Andrew Franks,8.1,7.0,K
Andrew Luck,,0.0,QB
Andrew Quarless,,0.0,TE
Andy Dalton,12.9,12.0,QB
Anquan Boldin,5.5,12.0,WR
Anthony Fasano,,0.0,TE
Anthony McCoy,,0.0,TE
Anthony Sherman,,0.0,RB
Antone Smith,,0.0,RB
Antonio Brown,13.5,27.0,WR
Antonio Gates,8.0,0.0,TE
Arian Foster,,0.0,RB
Arrelious Benn,,0.0,WR
Asante Cleveland,,0.0,TE
Austin Davis,,0.0,QB
Austin Hooper,4.8,0.0,TE
Austin Seferian-Jenkins,,0.0,TE
Bear Pascoe,,0.0,TE
Bears D/ST,7.1,-1.0,DST
Ben Braunecker,3.1,1.0,TE
Ben Koyack,2.9,2.0,TE
Ben Roethlisberger,20.1,20.0,QB
Ben Tate,,0.0,RB
Bengals D/ST,6.4,6.0,DST
Benjamin Cunningham,,1.0,RB
Benjamin Watson,,0.0,TE
Bennie Fowler,,13.0,WR
Bernard Pierce,,0.0,RB
Bilal Powell,3.9,3.0,RB
Bills D/ST,8.8,2.0,DST
Billy Cundiff,,0.0,K
Blaine Gabbert,,0.0,QB
Blair Walsh,,0.0,K
Blake Annen,,0.0,TE
Blake Bell,,0.0,TE
Blake Bortles,14.0,21.0,QB
Boobie Dixon,,0.0,RB
Bradley Marquez,,1.0,WR
Brandin Cooks,9.4,,
Brandon Allen,,0.0,QB
Brandon Bogotay,,0.0,K
Brandon Bolden,,0.0,RB
Brandon Bostick,,1.0,TE
Brandon Coleman,,6.0,WR
Brandon Doughty,,0.0,QB
Brandon Gibson,,0.0,WR
Brandon LaFell,7.2,3.0,WR
Brandon Marshall,8.1,12.0,WR
Brandon McManus,7.6,9.0,K
Brandon Myers,,0.0,TE
Brandon Pettigrew,,0.0,TE
Brandon Tate,,0.0,WR
Brandon Weeden,,0.0,QB
Brandon Williams,,0.0,TE
Braxton Miller,,1.0,WR
Brent Celek,,0.0,TE
Breshad Perriman,,7.0,WR
Brett Hundley,,0.0,QB
Brian Hartline,,0.0,WR
Brian Hoyer,,0.0,QB
Brian Leonhardt,,0.0,TE
Brian Quick,4.3,,
Brock Osweiler,12.9,11.0,QB
Broncos D/ST,7.9,7.0,DST
Browns D/ST,5.8,5.0,DST
